symbol,ath,asof
20MICRONS,339.0,2026-08-28
21STCENMGM,138.6300048828125,2026-08-28
360ONE,1297.1500244140625,2026-08-28
3BBLACKBIO,1350.300048828125,2026-08-28
3IINFOLTD,116.6500015258789,2026-08-28
3MINDIA,40020.6015625,2026-08-28
3PLAND,78.16000366210938,2026-08-28
5PAISA,736.0499877929688,2026-08-28
63MOONS,1100.5,2026-08-28
A2ZINFRA,51.70000076293945,2026-08-28
AAATECH,146.22999572753906,2026-08-28
AADHARHFC,556.5,2026-08-28
AAKASH,33.599998474121094,2026-08-28
AAREYDRUGS,99.25,2026-08-28
AARNAV,35.369998931884766,2026-08-28
AARON,238.8500061035156,2026-08-28
AARTECH,100.37999725341795,2026-08-28
AARTIDRUGS,1011.8499755859376,2026-08-28
AARTIIND,1156.550048828125,2026-08-28
AARTIPHARM,964.9000244140624,2026-08-28
AARTISURF,1758.3267822265625,2026-08-28
AARVI,191.1999969482422,2026-08-28
AASTHA,136.49000549316406,2026-08-28
AAVAS,3195.800048828125,2026-08-28
ABAN,279.0,2026-08-28
ABANSENT,30.299999237060547,2026-08-28
ABB,9020.0,2026-08-28
ABBOTINDIA,35670.0,2026-08-28
ABCAPITAL,424.7000122070313,2026-08-28
ABCOTS,496.5,2026-08-28
ABDL,702.7000122070312,2026-08-28
ABFRL,119.6496558636866,2026-08-28
ABINFRA,21.96999931335449,2026-08-28
ABLBL,165.1699981689453,2026-08-28
ABMINTLLTD,243.125,2026-08-28
ABMKNO,192.2400054931641,2026-08-28
ABREL,3052.800048828125,2026-08-28
ABSLAMC,1199.0,2026-08-28
ACC,2772.25,2026-08-28
ACCELYA,2057.0,2026-08-28
ACCURACY,29.170000076293945,2026-08-28
ACE,1606.4000244140625,2026-08-28
ACEINTEG,74.0,2026-08-28
ACGL,1806.199951171875,2026-08-28
ACI,822.75,2026-08-28
ACL,426.4727159750582,2026-08-28
ACMESOLAR,409.1499938964844,2026-08-28
ACSTECH,51.38999938964844,2026-08-28
ACUTAAS,3694.800048828125,2026-08-28
ADANIENSOL,4105.39990234375,2026-08-28
ADANIENT,3645.25,2026-08-28
ADANIGREEN,2970.5,2026-08-28
ADANIPORTS,1883.199951171875,2026-08-28
ADANIPOWER,248.91000366210935,2026-08-28
ADDIND,89.5,2026-08-28
ADFFOODS,347.6499938964844,2026-08-28
ADL,146.60000610351562,2026-08-28
ADOR,1684.0,2026-08-28
ADROITINFO,56.55405807495117,2026-08-28
ADSL,309.3500061035156,2026-08-28
ADVAIT,2450.60009765625,2026-08-28
ADVANCE,147.57000732421875,2026-08-28
ADVANIHOTR,87.5,2026-08-28
ADVENTHTL,328.6499938964844,2026-08-28
ADVENZYMES,549.9000244140625,2026-08-28
ADVIKCA,1.2300000190734863,2026-08-28
AEGISLOG,1417.9000244140625,2026-08-28
AEGISVOPAK,303.489990234375,2026-08-28
AEPL,19.65999984741211,2026-08-28
AEQUS,262.45001220703125,2026-08-28
AEROENTER,147.92999267578125,2026-08-28
AEROFLEX,542.0999755859375,2026-08-28
AERONEU,131.10000610351562,2026-08-28
AEROPLANE,201.38999938964844,2026-08-28
AETHER,1696.800048828125,2026-08-28
AFCONS,545.5499877929688,2026-08-28
AFFLE,2146.699951171875,2026-08-28
AFFORDABLE,735.7999877929688,2026-08-28
AFIL,13.335000038146973,2026-08-28
AFSL,607.3499755859375,2026-08-28
AGARIND,1361.699951171875,2026-08-28
AGARWALEYE,560.7000122070312,2026-08-28
AGI,1284.449951171875,2026-08-28
AGL,20.899999618530277,2026-08-28
AGRITECH,281.04998779296875,2026-08-28
AGROPHOS,154.25,2026-08-28
AHCL,16.861000061035156,2026-08-28
AHLADA,237.8500061035156,2026-08-28
AHLEAST,209.53404235839844,2026-08-28
AHLUCONT,1495.699951171875,2026-08-28
AHLWEST,715.6500244140625,2026-08-28
AIAENG,5081.39990234375,2026-08-28
AIIL,667.9000244140625,2026-08-28
AIRAN,44.34999847412109,2026-08-28
AIROLAM,190.3000030517578,2026-08-28
AJANTPHARM,3718.199951171875,2026-08-28
AJAXENGG,742.2999877929688,2026-08-28
AJMERA,234.1699981689453,2026-08-28
AJOONI,12.719108581542969,2026-08-28
AKASH,269.6499938964844,2026-08-28
AKCAPIT,1765.199951171875,2026-08-28
AKG,49.06748962402344,2026-08-28
AKI,32.349998474121094,2026-08-28
AKSHAR,6.885063871190445,2026-08-28
AKSHARCHEM,940.2000122070312,2026-08-28
AKSHOPTFBR,44.79999923706055,2026-08-28
AKUMS,1119.949951171875,2026-08-28
ALANKIT,84.55000305175781,2026-08-28
ALBERTDAVD,1697.449951171875,2026-08-28
ALEMBICLTD,164.1699981689453,2026-08-28
ALFREDHE,3034.89990234375,2026-08-28
ALGOQUANT,69.33999633789062,2026-08-28
ALICON,1513.3499755859375,2026-08-28
ALIVUS,1398.699951171875,2026-08-28
ALKALI,172.0,2026-08-28
ALKEM,6366.25,2026-08-28
ALKYLAMINE,4622.64990234375,2026-08-28
ALLCARGO,41.77028569150879,2026-08-28
ALMONDZ,37.27000045776367,2026-08-28
ALOKINDS,55.75,2026-08-28
ALPA,139.1999969482422,2026-08-28
ALPHAGEO,1123.699951171875,2026-08-28
ALPINETEX,99.75,2026-08-28
ALUFLUOR,460.4500122070313,2026-08-28
AMAGI,674.7000122070312,2026-08-28
AMAL,793.5999755859375,2026-08-28
AMANTA,205.1699981689453,2026-08-28
AMARJOTHI,163.61000061035156,2026-08-28
AMBALALSA,48.27000045776367,2026-08-28
AMBER,8842.5,2026-08-28
AMBICAAGAR,42.29999923706055,2026-08-28
AMBIKCO,2739.199951171875,2026-08-28
AMBUJACEM,695.0,2026-08-28
AMDIND,102.75,2026-08-28
AMJLAND,72.6500015258789,2026-08-28
AMNPLST,344.8999938964844,2026-08-28
AMRUTANJAN,992.0499877929688,2026-08-28
ANANDRATHI,2198.800048828125,2026-08-28
ANANTRAJ,935.5499877929688,2026-08-28
ANDHRAPAP,129.5800018310547,2026-08-28
ANDHRSUGAR,171.6999969482422,2026-08-28
ANDREWYU,39.0,2026-08-28
ANGELONE,380.5650024414063,2026-08-28
ANIKINDS,130.72000122070312,2026-08-28
ANMOL,65.4000015258789,2026-08-28
ANNAPURNA,484.5,2026-08-28
ANSALBU,85.69000244140625,2026-08-28
ANTELOPUS,1022.9500122070312,2026-08-28
ANTGRAPHIC,3.200000047683716,2026-08-28
