symbol,macro,sector,industry,basic,listed,_fetched
20MICRONS,,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,,2026-08-30
21STCENMGM,,Financial Services,Capital Markets,capital-markets,,2026-08-30
360ONE,,Financial Services,Asset Management,asset-management,,2026-08-30
3BBLACKBIO,,Healthcare,Biotechnology,biotechnology,,2026-08-30
3IINFOLTD,,Technology,Information Technology Services,information-technology-services,,2026-08-30
3MINDIA,,Industrials,Conglomerates,conglomerates,,2026-08-30
3PLAND,,,,,,2026-08-30
5PAISA,,Financial Services,Capital Markets,capital-markets,,2026-08-30
63MOONS,,Technology,Software - Application,software-application,,2026-08-30
A2ZINFRA,,Industrials,Engineering & Construction,engineering-construction,,2026-08-30
AAATECH,,Technology,Information Technology Services,information-technology-services,,2026-08-30
AADHARHFC,,Financial Services,Mortgage Finance,mortgage-finance,,2026-08-30
AAKASH,,Energy,Oil & Gas Equipment & Services,oil-gas-equipment-services,,2026-08-30
AAREYDRUGS,,Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,,2026-08-30
AARNAV,,,,,,2026-08-30
AARON,,Industrials,Specialty Industrial Machinery,specialty-industrial-machinery,,2026-08-30
AARTECH,,Industrials,Electrical Equipment & Parts,electrical-equipment-parts,,2026-08-30
AARTIDRUGS,,Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,,2026-08-30
AARTIIND,,Basic Materials,Specialty Chemicals,specialty-chemicals,,2026-08-30
AARTIPHARM,,Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,,2026-08-30
AARTISURF,,Basic Materials,Specialty Chemicals,specialty-chemicals,,2026-08-30
AARVI,,Industrials,Staffing & Employment Services,staffing-employment-services,,2026-08-30
AASTHA,,Consumer Cyclical,Textile Manufacturing,textile-manufacturing,,2026-08-30
AAVAS,,Financial Services,Mortgage Finance,mortgage-finance,,2026-08-30
ABAN,,Energy,Oil & Gas Drilling,oil-gas-drilling,,2026-08-30
ABANSENT,,Financial Services,Capital Markets,capital-markets,,2026-08-30
ABB,,Industrials,Specialty Industrial Machinery,specialty-industrial-machinery,,2026-08-30
ABBOTINDIA,,Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,,2026-08-30
ABCAPITAL,,Financial Services,Financial Conglomerates,financial-conglomerates,,2026-08-30
ABCOTS,,Consumer Cyclical,Textile Manufacturing,textile-manufacturing,,2026-08-30
ABDL,,Consumer Defensive,Beverages - Wineries & Distilleries,beverages-wineries-distilleries,,2026-08-30
ABFRL,,Consumer Cyclical,Apparel Manufacturing,apparel-manufacturing,,2026-08-30
ABINFRA,,Industrials,Engineering & Construction,engineering-construction,,2026-08-30
ABLBL,,Consumer Cyclical,Apparel Retail,apparel-retail,,2026-08-30
ABMINTLLTD,,Basic Materials,Specialty Chemicals,specialty-chemicals,,2026-08-30
ABMKNO,,Technology,Software - Application,software-application,,2026-08-30
ABREL,,Real Estate,Real Estate Services,real-estate-services,,2026-08-30
ABSLAMC,,Financial Services,Asset Management,asset-management,,2026-08-30
ACC,,Basic Materials,Building Materials,building-materials,,2026-08-30
ACCELYA,,Technology,Information Technology Services,information-technology-services,,2026-08-30
ACCURACY,,Industrials,Integrated Freight & Logistics,integrated-freight-logistics,,2026-08-30
ACE,,Industrials,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,,2026-08-30
ACEINTEG,,Industrials,Staffing & Employment Services,staffing-employment-services,,2026-08-30
ACGL,,Consumer Cyclical,Auto Parts,auto-parts,,2026-08-30
ACI,,Basic Materials,Chemicals,chemicals,,2026-08-30
ACL,,Basic Materials,Building Materials,building-materials,,2026-08-30
