symbol,mcap,price,shares,ok,err
360ONE,,,407564504.0,False,
3MINDIA,,,11265070.0,False,
3IINFOLTD,,,207403767.0,False,
20MICRONS,,,35286502.0,False,
3BBLACKBIO,,,,False,
21STCENMGM,,,10500000.0,False,
3PLAND,,,,False,
5PAISA,,,46879257.0,False,
63MOONS,,,46078537.0,False,
AAATECH,,,12826800.0,False,
A2ZINFRA,,,177522358.0,False,
AADHARHFC,,,438206717.0,False,
AAKASH,,,101250000.0,False,
AARTIIND,,,362726695.0,False,
AAREYDRUGS,,,33354303.0,False,
AARON,,,20946478.0,False,
AARTECH,,,31770375.0,False,
AARNAV,,,,False,
AARTIDRUGS,,,91270000.0,False,
AARTIPHARM,,,90679813.0,False,
AARVI,,,14810700.0,False,
AASTHA,,,,False,
AAVAS,,,79290026.0,False,
AARTISURF,,,8470905.0,False,
ABB,,,211908375.0,False,
ABBOTINDIA,,,21249302.0,False,
ABCAPITAL,,,2737370269.0,False,
ABANSENT,,,69748880.0,False,
ABFRL,,,1216777241.0,False,
ABCOTS,,,21963620.0,False,
ABAN,,,58365323.0,False,
ABDL,,,279710151.0,False,
ABINFRA,,,638789360.0,False,
ABLBL,,,1214638186.0,False,
ABMINTLLTD,,,9408000.0,False,
ACC,,,187787263.0,False,
ABREL,,,110577844.0,False,
ABMKNO,,,,False,
ABSLAMC,,,289358498.0,False,
ACCELYA,,,14926261.0,False,
ACCURACY,,,150560000.0,False,
ACE,,,119027888.0,False,
ACGL,,,,False,
ACEINTEG,,,10200000.0,False,
ACI,,,123458394.0,False,
ADANIENSOL,,,1222954468.0,False,
ACL,,,92172140.0,False,
ACMESOLAR,,,706291446.0,False,
ACSTECH,,,,False,
ACUTAAS,,,81871122.0,False,
ADANIENT,,,1353722600.0,False,
ADANIGREEN,,,1647176155.0,False,
ADANIPOWER,,,19284694705.0,False,
ADANIPORTS,,,2303959098.0,False,
ADDIND,,,,False,
ADFFOODS,,,109863595.0,False,
ADL,,,5566250.0,False,
ADROITINFO,,,57268430.0,False,
