symbol,name,series,listed,source
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,EQUITY_L
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,EQUITY_L
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,EQUITY_L
3BBLACKBIO,3B Blackbio Dx Limited,EQ,20-APR-2026,EQUITY_L
3IINFOLTD,3i Infotech Limited,BE,22-OCT-2021,EQUITY_L
3MINDIA,3M India Limited,EQ,13-AUG-2004,EQUITY_L
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,EQUITY_L
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,EQUITY_L
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,EQUITY_L
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,EQUITY_L
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,EQUITY_L
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,EQUITY_L
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,EQUITY_L
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,EQUITY_L
AARNAV,Aarnav Fashions Limited,BE,25-FEB-2026,EQUITY_L
AARON,Aaron Industries Limited,EQ,06-NOV-2020,EQUITY_L
AARTECH,Aartech Solonics Limited,BE,10-JUL-2023,EQUITY_L
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,EQUITY_L
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,EQUITY_L
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,EQUITY_L
AARTISURF,Aarti Surfactants Limited,BE,14-JUL-2020,EQUITY_L
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,EQUITY_L
AASTHA,Aastha Spintex Limited,EQ,06-JUL-2026,EQUITY_L
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,EQUITY_L
ABAN,Aban Offshore Limited,BE,29-MAR-1995,EQUITY_L
ABANSENT,Abans Enterprises Limited,EQ,20-APR-2026,EQUITY_L
ABB,ABB India Limited,EQ,08-FEB-1995,EQUITY_L
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,EQUITY_L
